Latitude,Longitude,Altitude
(40.23804095268095,44.50435248185263,85.71004410741376),
(40.23748875650667,44.50288384498009,166.43659780053994),
(40.236936043891525,44.501414834984246,247.49152278449284),
(40.23638249900781,44.49994621174771,328.8637146251017),
(40.23583027919345,44.49847508668515,410.5555218154535),
(40.235282370369994,44.496997815903775,492.569317794863),
(40.2347393633221,44.49551383265335,574.9101099340877),
(40.23420339986505,44.493985316352145,657.5846695262563),
(40.23368553780469,44.492224329758464,740.5956387863166),
(40.23318907598743,44.490198837653274,823.9456190316682),
(40.232797014230655,44.4877567668424,907.6372406003393),
(40.23263039875745,44.484678031484165,991.6731632663478),
(40.232692031936004,44.48096217109655,1076.0569475539912),
(40.23303056467187,44.4768781705024,1160.7927867630265),
(40.2336663873067,44.47256604647272,1245.8834865343617),
(40.23459451944205,44.468033080342536,1331.3318585073016),
(40.235809576083064,44.46328717451392,1417.1407463030532),
(40.23730577718006,44.4583368257579,1503.3130273633453),
(40.239055376223156,44.45330021501336,1589.855576762052),
(40.2409905024713,44.44850661372217,1676.7754967192488),
(40.24310337251194,44.44399077397315,1764.0759227260687),
(40.24539039395285,44.439766183345796,1851.7600206053535),
(40.247848150266464,44.435845081966214,1939.8309941845953),
(40.25047207134099,44.43224108107662,2028.2921856187486),
(40.253058136712625,44.42935683869232,2117.1486870661697),
(40.25546016567026,44.42747073840761,2206.4045358247145),
(40.25767748125138,44.4265745230089,2296.063128491868),
(40.25971088019882,44.426659566241696,2386.127903143469),
(40.26156254697491,44.42771693436042,2476.6023399855844),
(40.26323173048303,44.4297362865222,2567.4921036791197),
(40.264647403119,44.43268860230645,2658.807101694421),
(40.265785005383485,44.43656027775365,2750.5515405288947),
(40.26664629457432,44.44134727779338,2842.729258899102),
(40.26723177130009,44.4470474189772,2935.344145033587),
(40.26754068770444,44.453659137584175,3028.3848910166694),
(40.267576009425824,44.46117310117404,3121.876999508434),
(40.26745879054153,44.46929046064339,3215.827125373565),
(40.26724271421596,44.47787681144077,3310.239529562272),
(40.266927488366996,44.48692904320316,3405.118530114884),
(40.26651454258547,44.496442494911165,3500.468503187492),
(40.26600571579436,44.50641145011179,3596.2938840531874),
(40.265403035180455,44.51683055890763,3692.5991681240394),
(40.26474806185449,44.52756745594288,3789.3889119938763),
(40.264083129895944,44.538482602853186,3886.6677345028174),
(40.26340726562329,44.5495728110014,3984.440317823553),
(40.26271945242607,44.56083483631976,4082.7161171116472),
(40.26201863622275,44.572265377583804,4181.5100713783595),
(40.26130372721762,44.58386107070072,4280.827725430189),
(40.260571797394476,44.59558879920599,4380.674350744364),
(40.25981258080966,44.607300864847296,4481.055295270979),
(40.2590229684083,44.618975247918094,4581.975984853558),
(40.258201004524416,44.63060922427626,4683.441924680989),
(40.25734474483077,44.64220010849381,4785.458700771598),
(40.25645225726616,44.65374525553724,4888.031981490076),
(40.25552162390285,44.66524206212457,4991.1675190987),
(40.25452547503992,44.67674623870828,5094.878126922658),
(40.253424557303724,44.68834130523618,5199.181565915661),
(40.25221654216365,44.700026824507376,5304.084490158958),
(40.250899457779944,44.71180176024449,5409.593444784329),
(40.24947136475853,44.72366521775364,5515.715077944497),
(40.24793035648696,44.73561644532602,5622.456142889926),
(40.24627455899371,44.74765483543073,5729.823500095727),
(40.24452348200679,44.75982320414269,5837.824119439243),
(40.24269966992712,44.77216899540895,5946.465082430948),
(40.2408027708244,44.78469440344913,6055.7556884195355),
(40.23883232496265,44.79740164171354,6165.718609046552),
(40.23678784971584,44.810293045625336,6276.364868793568),
(40.23466884477096,44.82337105766784,6387.702536596591),
(40.232474792623805,44.83663822842233,6499.739818774832),
(40.23022137703476,44.850055799700776,6612.48506203776),
(40.227939602731105,44.86354758439888,6725.946756559637),
(40.225630754670306,44.87711461878747,6840.1335391343455),
(40.22329539914332,44.890759776024154,6955.054196412437),
(40.22093413223096,44.904485839811784,7070.7214797879315),
(40.218547582419106,44.918295531837686,7187.163312337176),
(40.216136410953546,44.932191515970594,7304.3921798656365),
(40.213704845391014,44.946183055253506,7422.418193182857),
(40.21129282458728,44.96034268414146,7541.251650434722),
(40.2089124871878,44.97468071114937,7660.903041554151),
(40.206565347553294,44.98918618396274,7781.383052833863),
(40.20425293825113,45.00384963032554,7902.7025716278995),
(40.201974680561214,45.01868911714899,8024.895949810827),
(40.199728228575964,45.03370994181226,8149.237280711209),
(40.197511852924656,45.04890853796095,8276.558591313544),
(40.195301580868765,45.06431297962544,8406.95035869562),
(40.193008348306684,45.0800412444801,8540.507255166687),
(40.19062055555435,45.096100046628536,8677.328820455778),
(40.18813506792282,45.112483455062765,8817.519789291146),
(40.18554858795875,45.12918499070974,8960.716988352498),
(40.182858641090185,45.14619424011943,9104.315373189827),
(40.180063572234424,45.1634972462115,9247.92591363287),
(40.177161626987825,45.181080048036634,9391.555057696622),
(40.17418751598453,45.198969394623695,9534.894696661),
(40.17117786573337,45.217194118137336,9677.058126237209),
(40.16813867155699,45.235748782804464,9817.905688009834),
(40.16507557132534,45.254628089655384,9957.347853974727),
(40.161983481007276,45.27382404569481,10095.827825355846),
(40.158856694539644,45.29332853756704,10235.313306583535),
(40.15569252958371,45.31313580754553,10376.028630193707),
(40.15248856088591,45.33324005727079,10517.994430573179),
(40.149240823964476,45.35363211222715,10661.206425387492),
(40.14593690358701,45.37428484397401,10804.835383434085),
(40.14257682993814,45.3951894013372,10948.44148512052),
(40.13916304075781,45.41634066392404,11092.023094269976),
(40.13569793834472,45.43773332773205,11235.575143199703),
(40.13218387917058,45.45936196213009,11379.096339277521),
(40.12862316363095,45.481221064034415,11522.58593508478),
(40.125018291095785,45.50330516539024,11666.043179602511),
(40.12138625094381,45.525612697414154,11809.467288388058),
(40.117737801183395,45.548141474460564,11952.85746515626),
(40.114102693328796,45.570854350977356,12096.212892044148),
(40.110577627006215,45.59363363933599,12239.532659979943),
(40.10716719644982,45.6164714010312,12382.815920637307),
(40.103867359494544,45.63936989704539,12526.06180831329),
(40.10067408474902,45.6623312748991,12669.269415300962),
(40.097583361581215,45.68535757556251,12812.437834432782),
(40.09459120743105,45.70845074140896,12955.566117589357),
(40.09169367058471,45.73161262384849,13098.653323281933),
(40.08888646690019,45.75484473532679,13241.698456005037),
(40.086154200154695,45.778139580097736,13384.700499790491),
(40.08348696215009,45.80149000737955,13527.658452838374),
(40.08088021876316,45.82489202893183,13670.571262550618),
(40.07832958763571,45.84834018871464,13813.437845623344),
(40.0758356289545,45.87152750712565,13956.257104853843),
(40.07340152925418,45.89423520080185,14099.027939997766),
(40.07102828591159,45.91647551701517,14241.749217107768),
(40.068716783822744,45.93826054313655,14384.419777084358),
(40.06646780858563,45.95960215966444,14527.03842688726),
(40.06428205776931,45.98051200257438,14669.603933059698),
(40.06216017893261,46.00100143705332,14812.11507015197),
(40.06011451411751,46.02108268800573,14954.570557218585)
