Latitude,Longitude,Altitude
(40.23888393939708,44.50680613996225,1109.953253828899),
(40.23917034121475,44.50801984543454,1225.6151928666648),
(40.23945857284989,44.50947118436161,1341.9585052273744),
(40.23975052836028,44.511166649515864,1458.9711471851806),
(40.240101760406276,44.51329661497907,1576.6632622066372),
(40.24067585881525,44.51642166026221,1695.0533630776256),
(40.24147992613306,44.52056835582174,1814.1504389478848),
(40.24250870773295,44.525724107559476,1933.9625241958959),
(40.24374053251898,44.53182172605912,2054.4982087733274),
(40.245059212845185,44.5384592603609,2175.7693870323224),
(40.2464424217404,44.54555641029936,2297.7853937723025),
(40.247890381168126,44.55311090536525,2420.5548967272425),
(40.24940047778046,44.5611160713792,2544.087567904897),
(40.25069998234799,44.56913973252655,2668.404209914525),
(40.25161291833355,44.57690782453068,2793.5181084772976),
(40.25213917691717,44.584425223241816,2919.4389960204344),
(40.25227870240442,44.59169659662604,3046.1776687875285),
(40.252074603480196,44.59892708252856,3173.756133797258),
(40.251666091196014,44.60675786723027,3302.188758596835),
(40.25106519553452,44.61522565570301,3431.4864177294367),
(40.25027368979885,44.62431775623043,3561.660185525197),
(40.249294013730236,44.634020788538805,3692.7213408071652),
(40.24818737828801,44.64429277542013,3824.6813717285977),
(40.24699649785376,44.655105044261624,3957.551980746386),
(40.24572360714651,44.666449953039105,4091.350913994661),
(40.244371026376996,44.67831970025279,4226.110961369292),
(40.24293507217974,44.69069124624312,4361.847063593426),
(40.24135469465262,44.70341067523953,4498.572665200693),
(40.23960711294587,44.7164411586773,4636.301477969273),
(40.2376842643289,44.72978456589506,4775.047487730433),
(40.23557811567946,44.74344276544995,4914.824961383194),
(40.23328862760604,44.75740159422521,5055.650673017752),
(40.230851288658634,44.77157389104667,5197.56507747722),
(40.228262712550524,44.78595120633459,5340.59158758964),
(40.22551316974079,44.80053680968413,5484.722671545441),
(40.22259220338988,44.815338587973955,5629.99900368893),
(40.21950829035883,44.830359105914376,5776.43788445322),
(40.21638655803779,44.845583709969326,5924.056991218688),
(40.213266489293495,44.861011088752,6072.8781959797725),
(40.21016499594761,44.87664337496346,6222.948648775803),
(40.20709871443046,44.89248277564291,6374.294283447427),
(40.20408235475721,44.90853517168343,6526.935725424876),
(40.20108627537071,44.924894314500015,6680.894081927134),
(40.198095029790245,44.9415986000583,6836.190956394179),
(40.19511027612188,44.958645232982214,6992.848463433218),
(40.19213377622514,44.976031345943746,7150.908593466761),
(40.18916739513202,44.99375406574978,7310.422545749006),
(40.18618874118428,45.01183523782466,7471.416029990015),
(40.18314440614472,45.03031963627975,7633.915173226789),
(40.18003311397337,45.04918727459323,7797.946768850596),
(40.17685533482737,45.06841566531019,7963.538298394737),
(40.17361114978101,45.08798300044713,8131.746591763112),
(40.17029918166411,45.10787206026263,8305.32569352994),
(40.16691290024305,45.12805177062775,8484.639288410852),
(40.163443151610565,45.14851873851802,8669.931536433238),
(40.15988273488011,45.16929191857928,8861.464011977849),
(40.156225000003346,45.19038922528708,9056.982174403434),
(40.15246591558147,45.211821317826306,9252.559065698297),
(40.148620377953385,45.23361450510656,9448.160945746757),
(40.14478949173679,45.25587418304956,9642.488299543413),
(40.14099983273434,45.278587921380485,9834.414982925826),
(40.13725377480714,45.30173550382935,10023.734183838436),
(40.133549597929424,45.325305353776024,10213.139655252171),
(40.12988632759515,45.34929340240588,10404.81911356496),
(40.12626921506352,45.373680201531734,10598.82595902285),
(40.12280295799138,45.39814846266821,10794.39491625482),
(40.119517354183216,45.42257416268329,10989.965784089653),
(40.116400320875464,45.44695162862142,11185.488229407783),
(40.11344013520601,45.47127554489491,11380.953965421104),
(40.11062549652611,45.495540944013534,11576.361078599853),
(40.107944431567994,45.5197386991158,11771.707616863898),
(40.10538050526429,45.543855014039885,11966.99164185284),
(40.102767389294556,45.56764844791468,12162.211018176615),
(40.09998334329346,45.59094643386829,12357.363538817004),
(40.09703282542933,45.61377414849288,12552.447035051522),
(40.09392016047117,45.636155539655405,12747.459207077836),
(40.09064951153842,45.65811329290538,12942.397741831546),
(40.087224858445765,45.67966882969211,13137.260234226394),
(40.08364998459612,45.70084232819444,13332.044178352167),
(40.07992847130059,45.72165275952802,13526.747049749261),
(40.07606369506538,45.7421179392801,13721.366178160224),
(40.07225337948063,45.762251696091056,13915.898851442094),
(40.06885406928496,45.78205881206084,14110.342290495471),
(40.065861724643646,45.80153743860049,14304.693616009426),
(40.06326400722915,45.82068560947161,14498.94991709754),
(40.06104883520097,45.83950191182579,14693.108113382326),
(40.059204472289686,45.85798538465624,14887.165044081745)
